SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5049","2016-08-12 12:00","S.SURFACE","0","-0.03","<","3.8","1.1","3.8","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0045",""
"ON02IS5092","2016-08-12 12:00","S.SURFACE","0","-0.03","<","3.2","0.97","3.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0046",""
"ON02IS5130","2016-08-06 23:30","S.SURFACE","0","-0.03","<","4.4","1.3","4.4","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0047",""
"ON02IS5157","2016-08-12 12:00","S.SURFACE","0","-0.03","<","3","0.9","3","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0048",""
"ON02IS5175","2016-08-13 12:00","S.SURFACE","0","-0.03","<","3.2","0.97","3.2","941","NG/G","DELTAMETHRIN","DELTAMÉTHRINE","P","2016-ON0249-0049",""
"ON02IS5450","2016-08-03 19:55","S.SURFACE","0","-0.03","<","0.5","0.15","0.5","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0001",""
"ON02IS5455","2016-08-03 23:00","S.SURFACE","0","-0.03","<","0.83","0.25","0.83","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0002",""
"ON02IS5449","2016-08-04 03:00","S.SURFACE","0","-0.03","<","0.43","0.13","0.43","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0003",""
"ON02IS5451","2016-08-04 06:00","S.SURFACE","0","-0.03","<","0.32","0.097","0.32","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0004",""
"ON02IS5452","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.33","0.098","0.33","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0005",""
"ON02IS5453","2016-08-15 12:00","S.SURFACE","0","-0.03","<","0.38","0.11","0.38","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0006",""
"ON02IS5454","2016-08-16 12:00","S.SURFACE","0","-0.03","","1.6","0.21","0.69","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0007",""
"ON02IS5456","2016-08-04 20:15","S.SURFACE","0","-0.03","<","0.62","0.19","0.62","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0008",""
"ON02IS5442","2016-08-05 12:15","S.SURFACE","0","-0.03","<","0.64","0.19","0.64","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0009",""
"ON02IS5443","2016-08-05 18:15","S.SURFACE","0","-0.03","<","0.25","0.076","0.25","949","NG/G","PERMETHRIN (CIS+TRANS)","PERMÉTHRINE (CIS+TRANS)","P","2016-ON0249-0010",""
