SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5178","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.0097","0.0097","0.029","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0050",""
"ON02IS5416","2016-08-07 16:30","S.CORE","0","-0.01","<","0.0098","0.0098","0.033","9358","NG/G DWT","ALLYL 2,4,6-TRIBROMOPHENYL ETHER (ATE)","ALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (ATE)","V","2016-ON0249-0085",""
"ON02IS5446","2016-08-14 12:00","S.SURFACE","0","-0.03","<","0.0099","0.0099","0.04","9357","NG/G DWT","ALPHA-1,2,5,6-TETRABROMOCYCLOOCTANE (ALPHA-TBCO)","ALPHA-1,2,5,6-TÉTRABROMOCYCLOOCTANE (?TBCO)","V","2016-ON0249-0013",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.02","-0.03","<","0.01","0.01","0.035","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0092",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.03","-0.04","<","0.01","0.01","0.034","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0093",""
"ON02IS5454","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.01","0.01","0.026","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0007",""
"ON02IS5130","2016-08-06 23:30","S.SURFACE","0","-0.03","<","0.01","0.01","0.027","9356","NG/G DWT","2-ETHYLHEXYL-2,3,4,5-TETRABROMOBENZOATE (EHTEBB OR EHTBB)","2-ÉTHYLHEXYL-2,3,4,5-TÉTRABROMOBENZOATE (EHTEBB OR EHTBB)","V","2016-ON0249-0047",""
"ON02IS5175","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.01","0.01","0.029","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0049",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.05","-0.06","<","0.011","0.011","0.035","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0080",""
"ON02IS5180","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.011","0.011","0.043","9355","NG/G DWT","2-BROMOALLYL 2,4,6-TRIBROMOPHENYL ETHER (BATE)","2-BROMOALLYL 2,4,6-TRIBROMOPHÉNYL ÉTHER (BATE)","V","2016-ON0249-0051",""
"ON02IS5400","2016-08-16 12:00","S.SURFACE","0","-0.03","<","0.011","0.011","0.038","49409","NG/G","2,2',4,4',5,5' -HEXABROMOBIPHENYL (HBB 153)","2,2',4,4',5,5' -HEXABROMOBIPHÉNYLE (HBB 153)","V","2016-ON0249-0068",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.14","-0.15","<","0.012","0.012","0.04","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0076",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.14","-0.15","","0.012","0.0015","0.005","9368","NG/G DWT","PENTABROMOTOLUENE (PBTO OR PBT)","PENTABROMOTOLUÈNE (PBTO OR PBT)","V","2016-ON0249-0091",""
"ON02IS5444","2016-08-05 22:00","S.CORE","-0.11","-0.12","<","0.013","0.013","0.044","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0072",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.01","-0.02","<","0.013","0.013","0.043","9365","NG/G DWT","OCTABROMOTRIMETHYLPHENYLINDANE (OBIND)","OCTABROMOTRIMÉTHYLPHÉNYLINDANE (OBIND)","V","2016-ON0249-0088",""
"ON02IS5416","2016-08-07 16:30","S.CORE","0","-0.01","<","0.014","0.014","0.045","9356","NG/G DWT","2-ETHYLHEXYL-2,3,4,5-TETRABROMOBENZOATE (EHTEBB OR EHTBB)","2-ÉTHYLHEXYL-2,3,4,5-TÉTRABROMOBENZOATE (EHTEBB OR EHTBB)","V","2016-ON0249-0085",""
"ON02IS5416","2016-08-07 16:30","S.CORE","-0.13","-0.14","","0.014","0.00084","0.0028","9353","NG/G DWT","2,3,5,6-TETRABROMO-P-XYLENE (PTBX)","2,3,5,6-TÉTRABROMO-P-XYLÈNE (?TBX)","V","2016-ON0249-0090",""
