SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5428","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.46","0.14","0.46","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0018",""
"ON02IS5438","2016-08-06 05:00","S.SURFACE","0","-0.03","<","0.48","0.15","0.48","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0019",""
"ON02IS5439","2016-08-06 10:30","S.SURFACE","0","-0.03","<","0.47","0.14","0.47","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0020",""
"ON02IS5429","2016-08-06 14:45","S.SURFACE","0","-0.03","<","0.56","0.17","0.56","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0021",""
"ON02IS5430","2016-08-06 17:30","S.SURFACE","0","-0.03","<","0.47","0.14","0.47","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0022",""
"ON02IS5431","2016-08-06 13:30","S.SURFACE","0","-0.03","<","0.33","0.1","0.33","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0023",""
"ON02IS5432","2016-08-13 12:00","S.SURFACE","0","-0.03","<","0.49","0.15","0.49","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0024",""
"ON02IS5433","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.45","0.14","0.45","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0025",""
"ON02IS5158","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.52","0.15","0.52","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0026",""
"ON02IS5108","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.43","0.13","0.43","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0027",""
"ON02IS5434","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.5","0.15","0.5","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0028",""
"ON02IS5436","2016-08-07 06:00","S.SURFACE","0","-0.03","<","0.48","0.14","0.48","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0029",""
"ON02IS5437","2016-08-07 08:00","S.SURFACE","0","-0.03","<","0.45","0.14","0.45","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0030",""
"ON02IS5416","2016-08-07 16:30","S.SURFACE","0","-0.03","<","0.46","0.14","0.46","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0031",""
"ON02IS5417","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.49","0.15","0.49","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0032",""
"ON02IS5418","2016-08-12 12:00","S.SURFACE","0","-0.03","<","0.42","0.13","0.42","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0033",""
"ON02IS5419","2016-08-11 22:30","S.SURFACE","0","-0.03","<","0.41","0.12","0.41","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0034",""
"ON02IS5421","2016-08-07 23:30","S.SURFACE","0","-0.03","<","0.43","0.13","0.43","39753","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P","2016-ON0249-0035",""
