SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IS5431","2016-08-06 13:30","S.SURFACE","0","-0.03","","64.5","4.4","15","58264","%","DIPHENYLAMINE-D7","DIPHÉNYLAMINE-D7","V","2016-ON0249-0023","QEH0010"
"ON02IS5431","2016-08-06 13:30","S.SURFACE","0","-0.03","","53.8","0.028","0.094","58265","%","MONOSTYRENATED-DIPHENYLAMINE 1-D7","MONOSTYRÉNÉE-DIPHÉNYLAMINE 1-D7","V","2016-ON0249-0023","QEH0010"
"ON02IS5429","2016-08-06 14:45","S.SURFACE","0","-0.03","<","5.6","5.6","1.1","58251","NG/G DWT","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","9,9-DIMETHYLACRYDAN / PREPOD (PREPOD B)","V","2016-ON0249-0021","QEH0007"
"ON02IS5429","2016-08-06 14:45","S.SURFACE","0","-0.03","<","2.2","2.2","0.67","58252","NG/G DWT","ISOPROPYL DIMETHYLACRIDAN / PREPOD (PREPOD C1)","ISOPROPYL DIMÉTHYLACRIDAN / PREPOD (PREPOD C1)","V","2016-ON0249-0021","QEH0007"
"ON02IS5429","2016-08-06 14:45","S.SURFACE","0","-0.03","<","3.3","3.3","1.1","58260","NG/G DWT","MONOBUTYL DPA / VANLUBE (C4)","MONOBUTYL DPA / VANLUBE (C4)","V","2016-ON0249-0021","QEH0007"
"ON02IS5429","2016-08-06 14:45","S.SURFACE","0","-0.03","<","1.1","1.1","0.44","58247","NG/G DWT","MONOOCTYL-MONOSTYRENATED-DIPHENYLAMINE 3 (BNST 3C)","MONOOCTYL-MONOSTYRÉNÉE-DIPHÉNYLAMINE 3 (BNST 3C)","V","2016-ON0249-0021","QEH0007"
"ON02IS5429","2016-08-06 14:45","S.SURFACE","0","-0.03","<","1.1","1.1","0.44","58256","NG/G DWT","PHENYL-TOLYL PPD / BENPAT (BENPAT 2)","PHÉNYL-TOLYL PPD / BENPAT (BENPAT 2)","V","2016-ON0249-0021","QEH0007"
"ON02IS5429","2016-08-06 14:45","S.SURFACE","0","-0.03","","51","0.5","0.15","58267","%","MONOOCTYL-MONOSTYRENATED-DIPHENYLAMINE 1-D8","MONOOCTYL-MONOSTYRÉNÉE-DIPHÉNYLAMINE 1-D8","V","2016-ON0249-0021","QEH0007"
"ON02IS5436","2016-08-07 06:00","S.SURFACE","0","-0.03","<","2.1","2.1","0.62","58250","NG/G DWT","ISOPROPYL DPA / PREPOD (PREPOD A)","ISOPROPYL DPA / PREPOD (PREPOD A)","V","2016-ON0249-0029","QEH0007"
"ON02IS5436","2016-08-07 06:00","S.SURFACE","0","-0.03","<","4.1","4.1","1","58260","NG/G DWT","MONOBUTYL DPA / VANLUBE (C4)","MONOBUTYL DPA / VANLUBE (C4)","V","2016-ON0249-0029","QEH0007"
